chamber,id,town,cover_area,total_area,share_covered
house,H141,Norwalk,6368554.1843476,38074210.72144,0.16726687339473587
house,H142,New Canaan,8340751.593107551,33655057.68449263,0.24783055406708604
house,H142,Norwalk,25314306.09138508,33655057.68449263,0.7521694459329139
house,H143,Norwalk,10099609.880053997,60914333.38822055,0.16580022005144412
house,H143,Westport,3900104.0046064258,60914333.38822055,0.06402604752727406
house,H143,Wilton,46914619.503560305,60914333.38822055,0.7701737324212847
house,H144,Stamford,15092121.302915452,15092121.302915452,1
house,H145,Stamford,7356001.311206758,7356001.311206758,1
house,H146,Stamford,7522675.694741845,7522675.694741845,1
house,H147,Darien,4164451.584989071,41277282.99719933,0.10088967302599906
house,H147,Stamford,37081827.85569239,41277282.99719933,0.8983592223889445
house,H148,Stamford,6838352.766657297,6838352.766657297,1
house,H149,Greenwich,73185603.34826422,100848441.34255314,0.725698903958999
house,H149,Stamford,27662837.99428892,100848441.34255314,0.27430109604100095
house,H150,Greenwich,24104294.23020926,24104294.23020032,1.0000000000003708
house,H151,Greenwich,34179662.037350416,34179662.037350416,1
senate,S001,Hartford,25576243.701803096,53863234.558710724,0.4748367585300709
senate,S001,Wethersfield,28286853.791107655,53863234.558710724,0.5251606967694279
senate,S002,Bloomfield,43399483.032893434,132536058.88944456,0.3274541539604348
senate,S002,Hartford,21197069.30836153,132536058.88944456,0.15993435662700023
senate,S002,Windsor,67939506.54818964,132536058.88944456,0.5126114894125653
senate,S003,East Hartford,48552528.80569789,245172137.15399206,0.1980344478345113
senate,S003,East Windsor,69484524.04579592,245172137.15399206,0.2834111773563929
senate,S003,Ellington,52917450.625977814,245172137.15399206,0.21583794651486227
senate,S003,South Windsor,74217633.67652035,245172137.15399206,0.30271642829423323
senate,S004,Andover,40625069.87155008,285534294.313931,0.14227737501431195
senate,S004,Bolton,38118105.17349255,285534294.313931,0.1334974674936369
senate,S004,Glastonbury,135165265.17759943,285534294.313931,0.473376641157478
senate,S004,Manchester,71625854.09128928,285534294.313931,0.2508485163345744
senate,S005,Bloomfield,24593567.44762516,224281222.9129784,0.10965504435994411
senate,S005,Burlington,78746680.45758677,224281222.9129784,0.3511068801695479
senate,S005,Farmington,63280032.77271128,224281222.9129784,0.2821459235455661
senate,S005,West Hartford,57657624.433035254,224281222.9129784,0.25707735888084815
senate,S006,Berlin,69928539.17125416,116058982.87096024,0.6025258660848678
senate,S006,Farmington,11355464.585272372,116058982.87096024,0.09784218596761186
senate,S006,New Britain,34774979.11443424,116058982.87096024,0.2996319479475249
senate,S007,East Granby,45759413.747804165,433871401.39995486,0.10546768835224946
senate,S007,Enfield,88554969.59654093,433871401.39995486,0.20410418688764523
senate,S007,Granby,78016972.28296213,433871401.39995486,0.17981589021822594
senate,S007,Somers,73935231.58212456,433871401.39995486,0.1704081701249744
senate,S007,Suffield,111082842.78889084,433871401.39995486,0.25602711409524676
senate,S007,Windsor Locks,24276673.862137794,433871401.39995486,0.055953616172454
senate,S008,Avon,61076402.65227413,794921595.4138885,0.07683324117075187
senate,S008,Barkhamsted,100587978.24898434,794921595.4138885,0.1265382382731867
senate,S008,Canton,64795112.31317341,794921595.4138885,0.08151132474824366
senate,S008,Colebrook,85224984.19511127,794921595.4138885,0.10721181143750101
senate,S008,Hartland,89654657.81362057,794921595.4138885,0.11278427750719297
senate,S008,New Hartford,98876082.37981796,794921595.4138885,0.1243846977491366
senate,S008,Norfolk,120308914.85245228,794921595.4138885,0.1513468945195929
senate,S008,Simsbury,88862014.17931557,794921595.4138885,0.1117871431496941
senate,S008,Torrington,47849661.63148296,794921595.4138885,0.0601941901032004
senate,S009,Cromwell,33586533.14223814,174159922.79176745,0.19284880587823605
senate,S009,Middletown,65028532.517819405,174159922.79176745,0.37338402242845564
senate,S009,Newington,34044587.17611674,174159922.79176745,0.1954788830310967
senate,S009,Rocky Hill,35846105.08024597,174159922.79176745,0.20582292702957272
senate,S010,New Haven,25438200.36721766,39647623.97273755,0.6416071839439721
senate,S010,West Haven,14191568.467298865,39647623.97273755,0.35794247032450804
senate,S011,Hamden,56103754.93171948,84465565.03584455,0.6642204418796086
senate,S011,New Haven,24792339.950612545,84465565.03584455,0.293520086441042
senate,S012,Branford,61088887.423339725,483914502.4860072,0.12623900939010638
senate,S012,Durham,40952518.304244995,483914502.4860072,0.08462759039842822
senate,S012,Guilford,124017947.89217246,483914502.4860072,0.2562807009400561
senate,S012,Killingworth,92735991.20404816,483914502.4860072,0.1916371398824314
senate,S012,Madison,95136331.44973421,483914502.4860072,0.19659739677358637
senate,S012,North Branford,69083735.21625209,483914502.4860072,0.1427602083867071
senate,S013,Cheshire,50955393.571429014,192544412.86632657,0.2646422859686126
